country,is_blend,is_dry,is_red,is_rose,is_sparkling,is_sweet,is_white,price,province,region_1,taster_name,variety,year,rating
US,0,0,0,0,0,0,0,10.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Merlot,2013.0,2
Hungary,0,0,0,0,0,0,1,25.0,Tokaj,Napa Valley,Jeff Jenssen,Furmint,2011.0,2
Italy,0,0,0,0,0,0,0,30.0,Central Italy,Verdicchio dei Castelli di Jesi Classico,Kerin O’Keefe,Verdicchio,2010.0,2
Chile,0,0,0,0,0,0,0,10.0,Central Valley,Napa Valley,Michael Schachner,Chardonnay,2012.0,1
Chile,0,0,1,0,0,0,0,9.0,Maipo Valley,Napa Valley,Michael Schachner,Carmenère,2008.0,1
US,0,0,1,0,0,1,0,45.0,California,Happy Canyon of Santa Barbara,Matt Kettmann,Sauvignon Blanc,2014.0,3
US,1,0,0,0,0,1,1,14.0,California,Clarksburg,Virginie Boone,Chenin Blanc-Viognier,2011.0,1
US,0,0,0,0,0,0,0,16.0,New York,Hudson River Region,Anna Lee C. Iijima,Chardonnay,2016.0,1
Italy,1,0,1,0,0,0,0,40.0,Northeastern Italy,Venezia Giulia,Kerin O’Keefe,Red Blend,2008.0,1
Chile,0,1,0,0,0,0,0,30.0,Maipo Valley,Napa Valley,Michael Schachner,Cabernet Sauvignon,2014.0,3
Italy,0,0,0,0,0,0,1,24.0,Northeastern Italy,Trentino,Kerin O’Keefe,Pinot Nero,2012.0,2
Italy,1,1,1,0,0,0,0,14.0,Northeastern Italy,Vigneti delle Dolomiti,Kerin O’Keefe,Red Blend,2013.0,2
France,0,0,0,0,0,0,0,25.0,Burgundy,Chablis,Roger Voss,Chardonnay,2005.0,2
US,0,0,1,0,0,0,1,36.0,California,Temecula Valley,Matt Kettmann,Montepulciano,2011.0,2
France,0,0,0,0,0,0,0,25.0,Loire Valley,Sancerre,Roger Voss,Sauvignon Blanc,2015.0,3
New Zealand,0,1,0,0,0,0,0,39.0,Central Otago,Napa Valley,Joe Czerwinski,Pinot Gris,2014.0,3
US,0,0,0,0,0,0,0,30.0,California,Amador County,Virginie Boone,Primitivo,2007.0,1
France,0,0,0,0,0,0,0,25.0,Languedoc-Roussillon,Limoux,Roger Voss,Chardonnay,2008.0,2
US,0,0,0,0,0,0,0,35.0,California,California,Roger Voss,Zinfandel,2008.0,1
Italy,1,0,1,0,0,0,0,35.0,Tuscany,Chianti Classico,Kerin O’Keefe,Red Blend,2013.0,1
US,1,0,1,0,0,0,0,25.0,California,Livermore Valley,Virginie Boone,Red Blend,2011.0,2
US,1,0,0,0,0,0,0,32.0,Washington,Yakima Valley,Paul Gregutt,Red Blend,2011.0,3
England,1,0,0,0,0,0,0,50.0,England,Napa Valley,Anne Krebiehl MW,Sparkling Blend,2013.0,3
US,0,0,0,0,0,0,0,55.0,California,Sonoma Coast,Virginie Boone,Chardonnay,2014.0,3
Spain,0,0,1,0,0,0,0,80.0,Northern Spain,Ribera del Duero,Michael Schachner,Tempranillo,2006.0,3
Spain,0,1,0,0,0,0,0,22.0,Northern Spain,Bierzo,Michael Schachner,Mencía,2008.0,2
Chile,0,0,0,0,0,0,0,25.0,Casablanca Valley,Napa Valley,Michael Schachner,Syrah,2010.0,2
Slovenia,0,0,0,0,0,0,0,22.0,Goriska Brda,Napa Valley,Jeff Jenssen,Ribolla Gialla,2014.0,2
US,1,1,1,0,0,0,0,25.0,California,Santa Ynez Valley,Matt Kettmann,Rhône-style Red Blend,2014.0,2
Italy,0,0,0,0,0,0,0,16.0,Tuscany,Chianti Classico,Roger Voss,Sangiovese,1998.0,0
US,0,0,0,0,0,0,1,15.0,Oregon,Willamette Valley,Paul Gregutt,Pinot Blanc,2007.0,2
Austria,0,0,0,0,0,1,0,36.0,Weinland Österreich,Napa Valley,Anne Krebiehl MW,Riesling,2016.0,3
US,0,0,0,1,0,0,0,20.0,Oregon,Willamette Valley,Paul Gregutt,Pinot Gris,2015.0,2
Portugal,0,0,1,0,0,0,0,25.0,Alentejano,Napa Valley,Roger Voss,Aragonês,2007.0,1
Germany,0,0,0,0,0,1,0,70.0,Mosel,Napa Valley,Anna Lee C. Iijima,Riesling,2012.0,3
Spain,0,0,0,0,0,0,0,25.0,Galicia,Rías Baixas,Michael Schachner,Albariño,2010.0,2
France,0,0,0,0,0,0,0,25.0,Loire Valley,Sancerre,Roger Voss,Sauvignon Blanc,2013.0,2
US,0,0,0,0,0,0,0,30.0,California,Oakville,Virginie Boone,Merlot,2011.0,1
Italy,1,0,1,0,0,0,0,40.0,Sicily & Sardinia,Isola dei Nuraghi,Kerin O’Keefe,Red Blend,2012.0,3
Austria,0,0,1,0,0,0,0,17.0,Niederösterreich,Napa Valley,Roger Voss,Grüner Veltliner,2011.0,2
Israel,0,0,1,0,0,1,0,24.0,Judean Hills,Napa Valley,Lauren Buzzeo,Merlot,2004.0,2
Italy,0,0,0,0,0,0,1,14.0,Veneto,Prosecco,Kerin O’Keefe,Glera,2011.0,2
France,1,0,1,0,0,0,0,14.0,Bordeaux,Côtes de Bordeaux,Roger Voss,Bordeaux-style Red Blend,2013.0,1
Argentina,0,0,1,0,0,0,0,20.0,Mendoza Province,Perdriel,Michael Schachner,Malbec,2006.0,2
France,0,1,0,0,0,0,0,22.0,Alsace,Alsace,Roger Voss,Riesling,2012.0,3
